Time Frame,Repository,Issue Number,Issue Title,Author,Opened by Swedish,Total Comments,Commented by Swedish,Resolution Time (Days)
2022_2024,youtube-dl,32217,ITV m3u8 403 Error,xtechgamer735,NO,3,NO,0
2022_2024,youtube-dl,32409,Vimeo issue just came up,jacobLach,NO,6,NO,252
2022_2024,youtube-dl,32728,Regarding use of specific source address IP,nikunjmishra1998,NO,2,NO,15
2022_2024,youtube-dl,32736,"Typical ""ffmpeg could not be found"" location problem? No it isn´t.",rocks-man,NO,2,NO,0
2022_2024,youtube-dl,32730,convert urls to the format that the option --download-archive archiveFile.txt converts them to,Iridium-Lo,NO,2,NO,8
2022_2024,youtube-dl,32734,"--cookies option, get cookies dynamically ",Iridium-Lo,NO,2,NO,4
2022_2024,youtube-dl,32733,ERROR: Unable to extract uploader id,deenbee,NO,2,NO,0
2022_2024,youtube-dl,32731,Discrepancy Between Direct Download and JSON Dump in youtube_dl when Deployed on Servers,yt-dlx,NO,2,NO,1
2022_2024,youtube-dl,32729,MeTube keep downloading wrong video from Instagram,CodeWithCJ,NO,1,NO,0
2022_2024,youtube-dl,32387,Mixcloud download failing with 403 error the last few days or so,phinett,NO,2,NO,236
2022_2024,youtube-dl,32383,[SoundCloud] HTTP Error 403: Forbidden,oszlsm,NO,4,NO,236
2022_2024,youtube-dl,32661,How to DL tver.jp/live,lingless,NO,1,NO,73
2022_2024,youtube-dl,32702,Duration of the download audio twice as long,GeorgeSinclair0043,NO,1,NO,29
2022_2024,youtube-dl,32712,Unable to download API page,Ericzhihao,NO,1,NO,24
2022_2024,youtube-dl,32723,[vhx:embed] 607458: Unable to extract login token on Dropout site,ricoloic,NO,1,NO,0
2022_2024,youtube-dl,32727,Can bilibili.com be supported?,RobotSe7en,NO,1,NO,0
2022_2024,youtube-dl,32720,youtube-dl -x --audio-format mp3 download error,RE-ProBot,NO,1,NO,0
2022_2024,youtube-dl,32718,Where to download?,JsBergbau,NO,2,NO,0
2022_2024,youtube-dl,31478,doesn't work on teachable,smartk3,NO,3,NO,3
2022_2024,youtube-dl,32684,"All content of the sub appeared in the beginning of the video, how to fix this",pammseyy,NO,2,NO,35
2022_2024,youtube-dl,32711,Android UserLAnd support,Marty-coder-dev,NO,2,NO,12
2022_2024,youtube-dl,32690,400 Bad Request for ITV,YewTreeWeb,NO,1,NO,29
2022_2024,youtube-dl,32697,[YouTube] Itag 18 not loading anymore,geroale,NO,2,NO,23
2022_2024,youtube-dl,32701,"Urgent - Vbox7 support needs to be fixed, so that archivists can save nearly all its' videos before they're permanently lost on Feb 22",iFUCKINGHATEcomputers,NO,1,NO,9
2022_2024,youtube-dl,32692,certain lengthy youtube videos take a long time to initialise,wellsyw,NO,3,NO,8
2022_2024,youtube-dl,32529,The Nightly repo isn't getting new releases,gamer191,NO,3,NO,136
2022_2024,youtube-dl,32655,Access Denied,Kitsune01lol,NO,1,NO,0
2022_2024,youtube-dl,32707,[Retracted][Dupe] Download from Invidious instances.,mk-pmb,NO,0,NO,0
2022_2024,youtube-dl,32703,Docs using a non functioning website to download from,ch33kaboo,NO,2,NO,0
2022_2024,youtube-dl,32700,New release build?,Neustradamus,NO,1,NO,0
2022_2024,youtube-dl,32699,ERROR: Unable to extract uploader id,yarko,NO,2,NO,0
2022_2024,youtube-dl,32698,Youtube-DL doesn't work anymore,caiot5,NO,1,NO,0
2022_2024,youtube-dl,32685,ERROR: Unable to extract uploader id,sugizo,NO,1,NO,0
2022_2024,youtube-dl,32717,Site Blocked / Project Status,kj37075,NO,2,NO,0
2022_2024,youtube-dl,32715,Access denied for Youtube,chrisspen,NO,1,NO,0
2022_2024,youtube-dl,31363,itvhub download stopped working,brianmassen,NO,7,NO,77
2022_2024,youtube-dl,32658,syntax error near unexpected token `newline',sirmarky,NO,4,NO,0
2022_2024,youtube-dl,32694,Could not send HEAD request to URL_SITE HTTP Error 403: Forbidden,rowanDeveloper,NO,1,NO,1
2022_2024,youtube-dl,32573,overwritten class _request is not providing expected attributes (commit: 648dc53),ReenigneArcher,NO,2,NO,116
2022_2024,youtube-dl,31216,[Youtube] Convert title text from surprising look-alike Unicode glyphs,s1sw4nto,NO,5,NO,244
2022_2024,youtube-dl,31067,RELEASE PLEASE,rofl0r,NO,10,NO,555
2022_2024,youtube-dl,31103,can't download subtitle with youtubedl,pammseyy,NO,3,NO,171
2022_2024,youtube-dl,32603,"Youtube: HTTP Error 403, giving up after 10 fragment retries",MarkJeronimus,NO,2,NO,19
2022_2024,youtube-dl,32622,"Link shown when error occured, is not working ",cniry,NO,0,NO,0
2022_2024,youtube-dl,32629,Option --restrict-filenames should implicitly de-zalgo the text.,mk-pmb,NO,2,NO,23
2022_2024,youtube-dl,32630,Unable to extract player URL for all videos,adaliaramon,NO,1,NO,0
2022_2024,youtube-dl,32653,Retrieve hidden video URLs.,bySnach,NO,2,NO,0
2022_2024,youtube-dl,32667,Why couldn't i download from Indavideo/Indavideo embedded if it is supported? HTTP Error 403,balazscseh,NO,2,NO,4
2022_2024,youtube-dl,32674,support for the Animes OneGai site,levaculik2,NO,1,NO,0
2022_2024,youtube-dl,32678,use MetadataFromTitle output in final file name,TomW1605,NO,2,NO,1
2022_2024,youtube-dl,32679,Custom postprocessor with python library,TomW1605,NO,2,NO,1
2022_2024,youtube-dl,32681, YouTube-DL 403 Error on Link Retrieval,giauphan,NO,0,NO,0
2022_2024,youtube-dl,32680,Merging Video and Audio Using youtube-dl,giauphan,NO,1,NO,0
2022_2024,youtube-dl,32670,Saving Cookies for Watch Later Retrieval ? ,SheepDomination,NO,1,NO,0
2022_2024,youtube-dl,32675,Error extracting uploader,SlashScreen,NO,1,NO,0
2022_2024,youtube-dl,32669,Unable to extract uploader id; please report this issue on https://yt-dl.org/bug,HeathPitt,NO,2,NO,0
2022_2024,youtube-dl,32663,youtube_dl.utils.RegexNotFoundError: Unable to extract uploader id;,yeuna,NO,1,NO,0
2022_2024,youtube-dl,32659,HELP!! :c,javiercity,NO,3,NO,0
2022_2024,youtube-dl,32652,"""Please Report This Issue""",MarkP2015,NO,1,NO,0
2022_2024,youtube-dl,32657,Unable to download YT video 64RynAEA83w,unrenormalizable,NO,1,NO,0
2022_2024,youtube-dl,32660,Getting Unable to Extract Uploder Id error,Aman-Singh-Kushwaha,NO,1,NO,0
2022_2024,youtube-dl,32668,ERROR: Unable to extract uploader id,durack1,NO,2,NO,0
2022_2024,youtube-dl,32665,youtube-dl Fails to Parse Public Facebook Video Data,Fares-Abubaker,NO,1,NO,0
2022_2024,youtube-dl,31528,"Download all videos from the ""@channel/shorts"" page",erikfiala,NO,3,NO,0
2022_2024,youtube-dl,32558,"Option --write-info-json for video with percent sign in title causes TypeError ""not enough arguments for format string""",mk-pmb,NO,2,NO,83
2022_2024,youtube-dl,31462,Epidemic Sound,UltraBlackLinux,NO,4,NO,328
2022_2024,youtube-dl,32650,Running on an AWS Lambda,ryangonzalez133,NO,2,NO,1
2022_2024,youtube-dl,32621,Download best VO audio,RPDJF,NO,2,NO,29
2022_2024,youtube-dl,32646,Use command without hierarchical order,123Axo,NO,1,NO,0
2022_2024,youtube-dl,32645,Youtube Video Trancript Downloader,HafizTamoor,NO,1,NO,0
2022_2024,youtube-dl,32643,Unable to extract uploader id,Aleyssu,NO,2,NO,0
2022_2024,youtube-dl,32500,[Youtube] unable to extract player URL,2blocksdown,NO,6,NO,2
2022_2024,youtube-dl,32644,Incorrect python3 dependency during `brew install --HEAD youtube-dl`,zwimer,NO,2,NO,0
2022_2024,youtube-dl,32601,[Youtube] Some videos cannot be parsed,mquhuy,NO,2,NO,0
2022_2024,youtube-dl,32586,Failure to extract player url for a youtube video,gl-yziquel,NO,2,NO,0
2022_2024,youtube-dl,32583,"Warning: ""unable to extract player URL"", error ""No video formats found""",JackX1980,NO,2,NO,0
2022_2024,youtube-dl,32582,youtube-dl -F 'video url' crashed unable to extract uploader_id while yt-dlp is working fine,pmo-19,NO,3,NO,0
2022_2024,youtube-dl,32575,youtube_dl.utils.ExtractorError: No video formats found,louisjdmartin,NO,1,NO,0
2022_2024,youtube-dl,32561,[You tube]: unable to extract player URL,tartina,NO,1,NO,0
2022_2024,youtube-dl,32555,No video formats found,Glydric,NO,1,NO,0
2022_2024,youtube-dl,32554,Error message for downloading,TobitRE,NO,1,NO,0
2022_2024,youtube-dl,32552,ExtractorError: No video formats found,Androbin,NO,3,NO,0
2022_2024,youtube-dl,32550,"This happens, when I am trying to download a video",Alex-265,NO,1,NO,0
2022_2024,youtube-dl,32546,No video formats found (youtube),hebrit,NO,3,NO,0
2022_2024,youtube-dl,32543,Unable to extract player URL; No video formats found,creeper6530,NO,1,NO,0
2022_2024,youtube-dl,32542,403: Forbidden while downloading YouTube videos,arunkumaraqm,NO,5,NO,43
2022_2024,youtube-dl,32540,youtube: Unable to extract player URL,andreas-gruenbacher,NO,4,NO,0
2022_2024,youtube-dl,32538,Unable to extract player URL while downloading youtube video,MIRK0,NO,4,NO,0
2022_2024,youtube-dl,32533,[YouTube] No video formats found,DonaldsoJo,NO,5,NO,1
2022_2024,youtube-dl,32531,[YouTube] ERROR: Unable to extract yt initial data,Blandss,NO,1,NO,0
2022_2024,youtube-dl,32501,[YouTube] Can't get video's ID from URL (which is valid),CmaKlonowa,NO,1,NO,0
2022_2024,youtube-dl,32636,Youtube-dl Showing Errors,Ermiasmarino,NO,1,NO,5
2022_2024,youtube-dl,32633,Python Import Error,visor841,NO,1,NO,8
2022_2024,youtube-dl,32635,"""ERROR: No video formats found;""",TheNamlessGuy,NO,1,NO,0
2022_2024,youtube-dl,32642,usr/bin/env: ‘python’: No such file or directory,ixtr,NO,1,NO,0
2022_2024,youtube-dl,32639,ERROR: Unable to extract uploader id when attempting to download  https://www.youtube.com/watch?v=2KbvJ3iapbc,facundoq,NO,3,NO,0
2022_2024,youtube-dl,32637,"Pulling all the video formats, how to choose the one I want？",repairwa11,NO,2,NO,5
2022_2024,youtube-dl,32641,Facebook - No such file or directory,0ldcamel,NO,1,NO,0
2022_2024,youtube-dl,32640,Suddenly can't download video .,yutanpo1227,NO,0,NO,0
2022_2024,youtube-dl,31652,Famous streaming website Sibnet.ru,trimechee,NO,4,NO,0
2022_2024,youtube-dl,31542,ERROR: Unable to extract uploader id,jdluther2020,NO,13,NO,0
2022_2024,youtube-dl,32625,Update,Mohammedmahmmoud112,NO,1,NO,0
2022_2024,youtube-dl,32626,OSError: ERROR: Unable to extract uploader id,Mrithul-E,NO,1,NO,0
2022_2024,youtube-dl,32624,Fail to download a video...,AdasOsorus,NO,2,NO,0
2022_2024,youtube-dl,32567,Vimeo private video : Failed to parse JSON,christiganc,NO,4,NO,39
2022_2024,youtube-dl,32619,unable to get formats,xvtstephen,NO,2,NO,0
2022_2024,youtube-dl,32623,I want download film,Omidbaloochi80,NO,1,NO,0
2022_2024,youtube-dl,32620,Old homepage,ShalokShalom,NO,2,NO,0
2022_2024,youtube-dl,31563,ERROR: Unable to extract uploader id,Ken-n,NO,3,NO,0
2022_2024,youtube-dl,32618,[UI] Add legend for Cache Details View,filimonic,NO,2,NO,0
2022_2024,youtube-dl,32614,_,php4fan,NO,0,NO,0
2022_2024,youtube-dl,32615,Website with instructions for reporting bugs is not accessible,php4fan,NO,1,NO,0
2022_2024,youtube-dl,32613,Playlist not Downloading,manavchaudhary1,NO,1,NO,0
2022_2024,youtube-dl,32610,Spankbang,Klinekim,NO,1,NO,0
2022_2024,youtube-dl,32609,RegexNotFoundError,vlappa,NO,1,NO,0
2022_2024,youtube-dl,32611,WARNING: unable to extract player URL; please report this issue,ismaarino,NO,1,NO,0
2022_2024,youtube-dl,32605,YT-dl URL Banned by Hamburg Regional Court,pheonix8905,NO,1,NO,0
2022_2024,youtube-dl,32602,youtube-dl failing for all youtube videos on galliumos,dnzgr,NO,1,NO,0
2022_2024,youtube-dl,31774,youtube_dl.utils.RegexNotFoundError: Unable to extract uploader id,y-71,NO,3,NO,0
2022_2024,youtube-dl,32607,DataExtract,skumbuzok,NO,1,NO,0
2022_2024,youtube-dl,32574,ERROR: Unable to extract uploader id [youtube-dl API],yuchdev,NO,2,NO,0
2022_2024,youtube-dl,31025,Crunchyroll,rcrx,NO,3,NO,0
2022_2024,youtube-dl,32600,Specify playlist range,octavo,NO,1,NO,0
2022_2024,youtube-dl,32597,youtube-dl,kalpita39,NO,1,NO,0
2022_2024,youtube-dl,32599,not downloading ...,jens3,NO,1,NO,0
2022_2024,youtube-dl,32598,"Access denied, due to a Hamburg court ruling ...",jens3,NO,1,NO,0
2022_2024,youtube-dl,32588,Problems with VPN & Proxies (probably),ghost,NO,1,NO,0
2022_2024,youtube-dl,32587,Getting error while getting facebook video data,vinit2510,NO,1,NO,0
2022_2024,youtube-dl,32593,Install jenkins in my Ubuntu AWS server,akhtar122,NO,1,NO,0
2022_2024,youtube-dl,32590,Unable to Download playlists! Incomplete Data Received & [Errno 2],GollumArain,NO,2,NO,1
2022_2024,youtube-dl,32591,https://courses/80573/pages/1-dot-1-analisis-de-riesgos-financieros-descripcion-general?module_item_id=3665529,MarilynSolCa,NO,1,NO,0
2022_2024,youtube-dl,32243,Unable to extract uploader id error (using -F subcommand to list all formats),madshckd,NO,1,NO,0
2022_2024,youtube-dl,32585,Can't access yt-dl.org,blakemcbride,NO,2,NO,0
2022_2024,youtube-dl,32584,Ceska televize download,jbelvoncik,NO,1,NO,0
2020_2022,tensorflow,53031,Unable to install Tensorflow through Pip due to no versions to install from,No767,NO,8,NO,1
2020_2022,tensorflow,40916,`tf.Tensor` as a Python `bool` is not allowed in Graph execution. Use Eager execution or decorate this function with @tf.function,Tyson-Stur,NO,7,NO,32
2020_2022,tensorflow,51479,ValueError: Tensor data is null. Run allocate_tensors() first ,rajeshdhanda,NO,7,NO,4
2020_2022,tensorflow,45231,Unable to restore a layer of class TextVectorization - Text Classification ,alihasn92,NO,12,NO,445
2020_2022,tensorflow,44868,Micro_speech error when given new model,michealcarac,NO,12,NO,10
2020_2022,tensorflow,42906,Please release TFLite wheels for Beaglebone,rgov,NO,8,NO,111
2018_2019,react,16174,Request for support of oncuechange event on <track> elements,JofBigHealth,NO,8,NO,1731
2018_2019,react,14490,Lazy useRef instance variables,Diokuz,NO,17,NO,23
2018_2019,react,16858,Calling setState multiple times in hooks causes the previous state to be overridden,Sayid1,NO,7,NO,0
2018_2019,react,12955,Fire change events for changes made to inputs before hydration,aweary,NO,5,NO,597
2018_2019,react,13278,Failed to execute 'insertBefore' on 'Node',vbrvk,NO,11,NO,6
2018_2019,react,14292,Provide a way to pass context to renderToStaticMarkup on the client,gaearon,NO,3,NO,1225
2018_2019,react,16592,React@16.9 block `javascript:void(0);`,fengxinming,NO,15,NO,0
2018_2019,react,15620,"Unable to eliminate 'Each child in a list should have a unique ""key"" prop' warning.",shangdev,NO,18,NO,0
2018_2019,react,16225,Help please. TypeError: _ useContext is undefined. No idea why.,ccapua,NO,8,NO,0
2018_2019,react,14066,State variable not updating in useEffect callback?,evolutionxbox,NO,15,NO,0
2018_2019,react,15639,ctor is not a function when using React.lazy ,nitish24p,NO,3,NO,0
2018_2019,react,14738,Dependency-based reinitialization of useState,jonrimmer,NO,11,NO,8
2018_2019,react,11996,Symbols as keys in children as arrays or iterators,vectorsize,NO,17,NO,212
2018_2019,react,13863,script onLoad is not triggered,caub,NO,11,NO,459
2020_2022,electron,31538,[Feature Request]: Create panel windows (NSPanel) on macOS,mitchchn,NO,5,NO,858
2020_2022,electron,27912,powerMonitor.getSystemIdleTime() reports user idle on linux when using only keyboard (on Wayland),ssalenik,NO,14,NO,1483
2020_2022,electron,24221,[Error] Image could not be created from ...,morecommits,NO,9,NO,2
2020_2022,electron,31724,The vm module of Node.js is deprecated in the renderer process and will be removed,JonathanLydall,NO,17,NO,1132
2020_2022,electron,22923,Unable to type in input unless clicked outside and back into the window,sachetsharma1,NO,14,NO,343
2020_2022,electron,25359,Window snapping on Windows does not persist the window position/size after hide/show,Nantris,NO,7,NO,1648
2020_2022,electron,34129,[Bug]: WCO on Windows occludes dev tools,sbatten,NO,6,NO,96
2020_2022,electron,34706,"[Bug]: File dialog overwrites the file manager's ""Show hidden files"" setting in Linux/GNOME",akilangh,NO,12,NO,754
2020_2022,electron,27139,`mandatory` property missing from `MediaTrackConstraints`,jameshfisher,NO,14,NO,698
2020_2022,electron,27604,"Autoupdater event ""update-not-available"" is never called on Windows",mahnunchik,NO,4,NO,5
2020_2022,electron,29605,[Bug]: `BrowserWindow.getBounds()` cannot be restored as they were in this case with multiple monitors and differing scale levels,bpasero,NO,11,NO,1358
2020_2022,electron,29345,[Bug]: Electron ignores XCompose settings when running natively on Wayland,gnull,NO,10,NO,659
2020_2022,electron,32375,[Bug]: The first call of `loadFile`/`loadURL` takes 2 seconds,AlttiRi,NO,10,NO,988
2020_2022,electron,34169,[Bug]: BrowserView: flickers when switching between view,poisonReact,NO,6,NO,408
2020_2022,electron,26910,electron install failed：unable to verify the first certificate,faxinwang,NO,13,NO,1
2020_2022,electron,33899,[Feature Request]: View and modify navigation history of webcontents (and by extension webviews),Jelmerro,NO,5,NO,1033
2020_2022,electron,27523,[Bug]: One webview paused by debugger prevents all webviews from receiving click events,Karine91,NO,13,NO,781
2020_2022,electron,26714,"Display local PDF with cmd switch ""disable-site-isolation-trials""",simann,NO,13,NO,968
2020_2022,electron,29880,"[Bug]: setWindowOpenHandler only fires for initial window creation when attached to a BrowserWindow, but additionally fires for subsequent window.open calls when attached to a BrowserView",pushkin-,NO,4,NO,1331
2020_2022,electron,31688,"[Bug]: Getting an code execution error while 1st launch on double click: ""FFMPEG.dll is missing""",Manunarasingh,NO,2,NO,366
2020_2022,electron,32718,[Bug]: Segmentation fault in uv_spawn with Electron 17.0.0,seanmacisaac,NO,18,NO,27
2020_2022,electron,28017,nodeIntegration: true not working properly.,chasemw1,NO,3,NO,1
2020_2022,electron,22174,BrowserView autoResize doesn't work correctly in some cases and BrowserView shrinks,pushkin-,NO,17,NO,1796
2020_2022,electron,23730,BrowserWindow show() is slow,ivanalejandro0,NO,3,NO,206
2020_2022,electron,24201,Image could not be created [Icon in BrowserWindow],morecommits,NO,2,NO,0
2020_2022,electron,25153,[v10.0.0] Failure of transparent in Linux,yodagg,NO,13,NO,800
2020_2022,electron,29970,webSecurity: false doesn't allow access to cross-origin child windows,nornagon,NO,5,NO,492
2020_2022,electron,23664,Electron 9.0.0 webSecurity option no longer disables CORS,wesflynn,NO,21,NO,120
2020_2022,electron,25890,get character encoding of windows,mrafei,NO,1,NO,1557
2020_2022,electron,24356,"ready-to-show event doesn't fire when opening a window to ""about:blank"" and writing a small amount of content to it",pushkin-,NO,4,NO,1662
2020_2022,electron,23602,Docs: Update notifications.md,kaatt,NO,2,NO,1707
2020_2022,electron,27107,No way to set a BrowserWindow to another's modal window.,xland,NO,3,NO,1484
