SHA,Message,Author,Date
fd42082ae0fe156a2418b3f4c2a10900cf38b37c,"build(deps): bump ecstatic from 3.3.0 to 3.3.2 (#10634)

Bumps [ecstatic](https://github.com/jfhbrook/node-ecstatic) from 3.3.0 to 3.3.2.
- [Release notes](https://github.com/jfhbrook/node-ecstatic/releases)
- [Changelog](https://github.com/jfhbrook/node-ecstatic/blob/3.3.2/CHANGELOG.md)
- [Commits](https://github.com/jfhbrook/node-ecstatic/compare/3.3.0...3.3.2)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:31:25Z
fa55a20e196955ff9850838a45b67764c2789f11,"build(deps): bump handlebars from 4.0.12 to 4.4.3 (#10633)

Bumps [handlebars](https://github.com/wycats/handlebars.js) from 4.0.12 to 4.4.3.
- [Release notes](https://github.com/wycats/handlebars.js/releases)
- [Changelog](https://github.com/wycats/handlebars.js/blob/master/release-notes.md)
- [Commits](https://github.com/wycats/handlebars.js/compare/v4.0.12...v4.4.3)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:31:15Z
d1164f1a310444ea0b4efe53819f0054f0e2dab8,chore: Fastcoding Inc broken icon [ci skip] (#10638),Mattias Naarttijärvi,2019-10-28T15:30:57Z
3c90820e389620b1497e1602efb23439c61c8e67,"build(deps): bump js-yaml from 3.12.1 to 3.13.1 (#10632)

Bumps [js-yaml](https://github.com/nodeca/js-yaml) from 3.12.1 to 3.13.1.
- [Release notes](https://github.com/nodeca/js-yaml/releases)
- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)
- [Commits](https://github.com/nodeca/js-yaml/compare/3.12.1...3.13.1)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:29:51Z
3bc73226d70c97f93cdf3a25951be9dbaab0127f,"build(deps): bump mixin-deep from 1.3.1 to 1.3.2 (#10631)

Bumps [mixin-deep](https://github.com/jonschlinkert/mixin-deep) from 1.3.1 to 1.3.2.
- [Release notes](https://github.com/jonschlinkert/mixin-deep/releases)
- [Commits](https://github.com/jonschlinkert/mixin-deep/compare/1.3.1...1.3.2)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:29:38Z
0645fe61bf2f05e7ad4f71c44b2ae8af2e97662f,"build(deps): bump eslint-utils from 1.3.1 to 1.4.2 (#10630)

Bumps [eslint-utils](https://github.com/mysticatea/eslint-utils) from 1.3.1 to 1.4.2.
- [Release notes](https://github.com/mysticatea/eslint-utils/releases)
- [Commits](https://github.com/mysticatea/eslint-utils/compare/v1.3.1...v1.4.2)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:29:14Z
b885e1e88f8b5928278d54449a937bcb0fdcc899,chore: update sponsors [ci skip] (#10750),vue-bot,2019-10-28T15:27:51Z
d7d8ff06b70cf1a2345e3839c503fdb08d75ba49,chore: fix typo in `next-tick.js` comment (#10607),EVILLT,2019-10-08T08:41:17Z
e8ca21ff1d7af92649902952c97418ad3ffd014f,chore: fix sponsor link,Evan You,2019-10-07T14:49:43Z
78aefcf6d5f56935e67d6c2b6443342f8c381d67,chore: update backers [ci skip] (#10598),vue-bot,2019-10-06T15:59:59Z
33d9d81218aa01ad89013422ee0b7c3a11d7236e,chore: update sponsors [ci skip] (#10599),vue-bot,2019-10-06T15:59:47Z
2b5c47aef9914905398e8fcba52852b02fa0fc1b,chore: update sponsors [ci skip] (#10589),vue-bot,2019-10-06T15:58:52Z
5d928fc7783b552ddbb0ee1dc1a085abf6f1bd5c,chore: update sponsors [ci skip] (#10587),vue-bot,2019-10-06T15:58:27Z
3dcd85b82693765b13e866132bcaa318ef086fe5,chore: fix typo in <template v-slot> warning (#10585),Tan Zhen Yong,2019-10-01T07:07:36Z
235064ebe19648420295f5ee57cf5ed5b72bbc16,chore: update backer image [ci skip],Evan You,2019-09-25T13:36:39Z
b9b849255fe3199e94ff8ef09187a55521731c0c,chore: update sponsors [ci skip] (#10556),vue-bot,2019-09-24T17:27:53Z
d2db6af1a55fdb4d65746fb67f7bfbced7d916f0,chore: update sponsors [ci skip] (#10534),vue-bot,2019-09-23T15:52:43Z
77796596adc48d050beefd11e827e8e4d44c6b3c,chore: update backers [ci skip] (#10474),vue-bot,2019-09-19T20:09:31Z
5bbb077cd9d79eabab0002c459d373d75e532ef0,docs: fix link to point to ModuleOptions lines (#10531),Tommy Lebel,2019-09-19T07:52:32Z
95d8afa07c4a84d6c178e220913cec4b1afcf21d,chore: update sponsors [ci skip] (#10467),vue-bot,2019-09-04T19:32:22Z
399b53661b167e678e1c740ce788ff6699096734,chore: add posva to funding.yml,Eduardo San Martin Morote,2019-08-24T11:10:40Z
369dbe711a037b04612bca2f2e961282bdbb9153,chore(benchmarks): use flex-wrap (#10380),Daniel Ruf,2019-08-12T08:05:31Z
d40b7ddb8177944d1dd50f4f780e6fd92c9455c2,chore: typo in variable name (#10358),Li Yongcheng,2019-08-07T07:09:00Z
1a43722e72f30841472432ec55000f4850a93644,chore: update sponsors [ci skip] (#10355),vue-bot,2019-08-05T16:15:21Z
64fcad6476fa46419dcac34502d5592e1f3f08ff,chore: update backers [ci skip] (#10353),vue-bot,2019-08-05T14:26:28Z
78c3ce0ce0c2230f657cb7772a84fc7aa7ce0825,chore: fix prefixed data properties warning typo (#10327),Husam Ibrahim,2019-07-31T07:52:42Z
f1d29d7f45022f0edd20081dea8387043c96b30d,chore: update sponsors [ci skip] (#10319),vue-bot,2019-07-29T18:42:41Z
b7c2d9366cf731a1551286b8ac712e6e0905070e,"fix(security) upgrade lodash.template (#10257)

That's it.
https://github.com/lodash/lodash/pull/4336",nothingismagick,2019-07-15T14:31:39Z
a99c6672d6e58183013be338cb7affe14a23c9d8,chore: update sponsors [ci skip] (#10242),vue-bot,2019-07-08T13:30:33Z
024e4f2c768757872be6e25476e19c2c56057ddc,chore: update sponsors [ci skip] (#10233),vue-bot,2019-07-08T13:29:51Z
c236f56422ddc56cc6dc26c8d9e6a26429100748,chore: update backers [ci skip] (#10232),vue-bot,2019-07-08T13:28:26Z
3b8925bc7973bb71b33374281db10a945ca9854e,chore: update sponsors [ci skip] (#10181),vue-bot,2019-06-22T04:48:50Z
b47a7b820c1cf13b1abcf72adcbeb33e8a715f07,chore: update backers [ci skip] (#9974),vue-bot,2019-06-22T04:48:00Z
bad3c326a3f8b8e0d3bcf07917dc0adf97c32351,chore: update sponsors [ci skip] (#10158),vue-bot,2019-06-14T14:24:23Z
8f7133c8fa64a11fa12ee7ec511f174c48051570,chore: fix sponsor url [ci skip],Evan You,2019-06-12T14:39:51Z
bbdaaf480c00b25d7d900cae79c03ef8d5ca7d53,chore: update sponsors [ci skip] (#10136),vue-bot,2019-06-12T08:34:56Z
d09355c5101bcaaa8ff1ff66032fd984a8a14664,chore: update sponsors [ci skip] (#10130),vue-bot,2019-06-12T08:32:46Z
3819af5c9dedde4d1ea81f9caa127e611c8752e3,chore: update sponsors [ci skip] (#10113),vue-bot,2019-06-11T07:40:50Z
f64765fa03c1eb1d37f3301ea5beb4d18e57158a,chore(typo): fix comment typo (#10101),Magic,2019-06-04T09:51:19Z
ff911c9ffef16c591b25df05cb2322ee737d13e0,chore: update sponsors [ci skip] (#10064),vue-bot,2019-05-24T03:20:12Z
0224ae85183ca2b05988e0a7b7572b530ca92eba,Create FUNDING.yml,Evan You,2019-05-24T03:19:01Z
06d4ad40a49e85e678ce2aa8fac0ecf2176f86e2,chore: update sponsors [ci skip] (#10031),vue-bot,2019-05-16T01:04:06Z
0caebfe905bc1e587fb583de778287c2362bba1a,chore(typo): fix README tag mismatch (#9934),msidolphin,2019-05-14T10:15:42Z
1137e415c9e8701d1b0a25e5812f8c4dffeeeaaa,chore(typo): fix typo in comments (#9995),Sai,2019-05-08T15:08:29Z
26bd80774fd70625b2ec44ddd9c967571ef4a884,chore: update sponsors [ci skip] (#9970),vue-bot,2019-05-02T15:01:15Z
f0b9c923786e1e35e4586502d21cc2f804c9489d,chore: update sponsors [ci skip] (#9933),vue-bot,2019-04-28T01:39:43Z
569b728ab19d1956bf935a98c9c65a03d92ac85f,"fix: fix function expression regex (#9922)

fix #9920",GU Yiling,2019-04-25T13:04:36Z
ab50e8e1da2f4f944af683252481728485fedf16,fix(types): fix global namespace declaration for UMD bundle (#9912),katashin,2019-04-25T03:18:07Z
085d188379af98e9f482d7e2009ebfd771bd7ca5,fix(compiler): Remove the warning for valid v-slot value (#9917),X.L,2019-04-25T03:17:39Z
861aea16615a9736eab6af6d05fa5500ae4d6c37,polish: add warning when .native modifier is used on native HTML elements (#9884),Natalia Tepluhina,2019-04-25T02:39:19Z
bd6cea0973247e2a8e1d4a2250614c0bf44f0b26,test: fix running e2e test on windows (#9909),zrh122,2019-04-25T02:35:16Z
43b98fe25151b0b6bacd36f3ee27c5d61add5fdb,"refactor: remove useless parameter to the function removeVnodes (#9914)

close #9910",子迟,2019-04-25T02:34:55Z
ea113d261835d14b7fb7a14896972efc3c8a75b9,test: separate failing test for TS 3.4,Evan You,2019-04-25T02:13:32Z
a9a303009a4267b7f12b956741b4e34dfdc6566f,chore: fix SimpleSet export,Evan You,2019-04-25T02:00:51Z
29e745f99f43d0629df547da80b016996ae70872,chore: improve license clarity of simplehtmlparser.js (#9907),Henri Yandell,2019-04-23T01:44:01Z
f478ab80106b4993398761608aee71b9724e2227,chore: update sponsors [ci skip] (#9860),vue-bot,2019-04-11T01:00:56Z
91b8cda0b28d6774d7319d646c999e04d948a8cd,docs(contributing): fix a grammar error (#9858),Billy Zou,2019-04-10T15:45:47Z
15704ce6ef274f30b05b9fc89337a18bbe48ff57,chore: use png for sponsor logo,Evan You,2019-04-10T03:01:01Z
fb4d2c1c632795d1db0e81ad8289cd1718b19e61,chore: update sponsors [ci skip] (#9846),vue-bot,2019-04-10T02:51:23Z
546e7d14adddad643f0065ba91c95d69cbbb020e,docs(contributing): add yarn requirement to guide (#9848),Billy Zou,2019-04-08T18:06:47Z
af15d16d62d5ebea28322b703806624dd1ffd039,chore: update sponsors [ci skip] (#9845),vue-bot,2019-04-08T13:15:00Z
6a8473411ab67e4b4b00773c5c15b0fad7339b76,chore: update sponsors [ci skip] (#9834),vue-bot,2019-04-06T02:19:11Z
a8184917a26215629d6194c079c953dff4caacf5,"docs(contributing): replace npm install with yarn

Related to #9831",Eduardo San Martin Morote,2019-04-05T20:18:50Z
94c0918f8d4f16d4d0e77771529f05427b1c2a7b,chore: update sponsors [ci skip] (#9828),vue-bot,2019-04-05T14:18:06Z
8637009b5bbbfa5cee6aa3d9b9dc24922f3dfd50,chore: update backers [ci skip] (#9827),vue-bot,2019-04-05T14:17:49Z
6be3bf4a69b4f59fd5507dfdc7ab5f8ba5d00c67,chore: update sponsors [ci skip] (#9804),vue-bot,2019-04-02T01:21:20Z
e90cc60c4718a69e2c919275a999b7370141f3bf,build: release 2.6.10,Evan You,2019-03-20T06:26:44Z
e7b912a17bf3be6b1743307ce359a9c6816be0dd,build: build 2.6.10,Evan You,2019-03-20T06:26:40Z
f11449d916a468651d4fd5024c37e3eebbc9941f,"fix(core): only unset dom prop when not present

fix #9650",Evan You,2019-03-20T06:13:23Z
02d21c265c239682e73b2b3f98028f2da5e7205d,"fix(core): cleanup timeouts for async components (#9649)

close #9648",Alexander Schwartz,2019-03-20T05:55:37Z
bf5ceb759a0c9dfc8a9fa05b024f3d9aa4ea70e4,polish: improve template compiler version mismatch warning (#9738),Brian McMillen,2019-03-20T05:13:14Z
df4af4bd1906b9f23b62816142fdfbd6336d3d2f,"fix(types): allow using functions on the PropTypes (#9733)

close #9692",Carlos Rodrigues,2019-03-19T04:54:27Z
22790b250cd5239a8379b4ec8cc3a9b570dac4bc,"fix(scheduler): revert timeStamp check

fix #9729

This reverts #9667, but also fixes the original issue #9632 by skipping
the check in IE altogether (since all IE use low-res event timestamps).",Evan You,2019-03-19T04:44:49Z
ebc1893faccd1a9d953a8e8feddcb49cf1b9004d,"fix(slots): fix slots not updating when passing down normal slots as $scopedSlots

fix #9699",Evan You,2019-03-18T09:42:16Z
3433ba5beef9a6dd97705943c3441ebbee222afd,"fix(codegen): support named function expression in v-on (#9709)

fix #9707",GU Yiling,2019-03-18T08:19:41Z
982d5a492fb95577217e2dacaa044eabe78a8601,"fix(types): support string type for style in VNode data (#9728)

fix #9727",Vitor Luiz Cavalcanti,2019-03-18T07:47:43Z
653c74e64e5ccd66cda94c77577984f8afa8386d,"fix(core): use window.performance for compatibility in JSDOM (#9700)

fix #9698",GU Yiling,2019-03-15T01:06:40Z
43115e09e98d484a35f7c12249396b6d5d66c7ff,build: release 2.6.9,Evan You,2019-03-14T09:02:03Z
5bffed03f14a6d15fc5718335f9697cab0c261ab,build: build 2.6.9,Evan You,2019-03-14T09:02:00Z
f1bdd7ff9d1fc86f7a8ad8d5cb6d9abc7b2e47f3,fix(compiler): whitespace: 'condense' should honor pre tag as well (#9660),GU Yiling,2019-03-14T07:47:51Z
4de4649d9637262a9b007720b59f80ac72a5620c,fix(transition): fix appear check for transition wrapper components (#9668),DSha,2019-03-14T07:45:42Z
d44cc20e968cb5a44202813e22b3b7c1377e69b1,chore: remove unused build alias (#9525),Pengfei Yang,2019-03-14T07:27:00Z
7186940143704acc4ec046132f6a56e9c983e510,"fix: should not swallow user catch on rejected promise in methods

fix #9694",Evan You,2019-03-14T07:25:01Z
8082d2f910d963f14c151fb445e0fcc5c975cca9,"fix(ssr): fix nested async functional componet rendering (#9673)

fix #9643",krystal,2019-03-13T09:20:28Z
7591b9dc6dde314f2d32dcd7a8355f696a330979,"fix: event timeStamp check for Qt

fix #9681",Evan You,2019-03-13T09:18:47Z
d28240009c4c49fb2ef42a79206f0d9ad03f736c,fix(ssr): not push non-async css files into map (#9677),Xin Du (Clark),2019-03-13T09:16:44Z
2747a657654d1006bf7061faec1b3029fb9b4432,test: remove unused code (#9684),Decade,2019-03-13T02:19:19Z
aa043347818a39da695375697e8ae2b9afb846c8,chore: update sponsors [ci skip] (#9680),vue-bot,2019-03-12T05:41:16Z
eafea3134e19aaaed1937657553bc7a101acd869,chore: update sponsors [ci skip] (#9675),vue-bot,2019-03-11T23:08:55Z
19c0f80d2cfaa1327aa019663b2e33dff6be0787,chore: update backers [ci skip] (#9621),vue-bot,2019-03-11T02:54:26Z
ef2a380c6eb6bd1a7ff516c357dafa717e75a745,"fix(scheduler): getNow detection can randomly fail (#9667)

The previous detection code compared time stamps based on Date.now()
which are not monotonic, so the check could fail due to clock skew or
adjustments.

This fix changes the check to compare against performance.now() if it is
supported, because it is monotonic (strictly increasing).",Felix Bünemann,2019-03-11T02:28:06Z
781c70514e01bc402828946805bfad7437c7175e,"fix: should use fallback for scoped slots with single falsy v-if

fix #9658",Evan You,2019-03-08T18:44:08Z
9313cf91740e1d43c43cf9e73d905dbab913beb5,"fix: should consider presence of normal slots when caching normalized scoped slots

fix #9644",Evan You,2019-03-08T18:03:19Z
da77d6a98bdccd8a2c8bfdfe6b9cb46efcb1193c,"fix(scheduler): fix getNow check in IE9 (#9647)

fix #9632",Felix Bünemann,2019-03-08T17:04:28Z
0b57380f10986c6b07e3c240acc06bfd2eddfd1b,"fix: v-bind object should be overridable by single bindings (#9653)

fix #9641",GU Yiling,2019-03-08T17:00:47Z
731e4d0ebc997a6c2b1fc500b08924ff7ba091b6,"types: use normalized type for `RenderContext.scopedSlots` (#9624)

fix #9616",DSha,2019-03-05T21:46:56Z
0c4c78bfc026bed79e76d0d0009b6ed15b6bb008,chore: update sponsors [ci skip] (#9622),vue-bot,2019-03-05T21:44:12Z
6ad99796c747987142c21b45c9361cca60e54e68,docs: fix spelling and grammatical errors (#9619),Jagannath Bhat,2019-03-04T16:53:59Z
d123c7e4c67cb17c265f3a4f741fae71b69f5dc9,build: release 2.6.8,Evan You,2019-03-01T15:03:38Z
869a8197efa78164c1e8d4faa181ede9fdb0f7b2,build: build 2.6.8,Evan You,2019-03-01T15:03:33Z
372d71cbfe717186e12d1fffc1cb3fe570dd943c,"docs: clarify docs about using template compiler (#9508)

This commit is for https://github.com/vuejs/vue-loader/issues/1494",ULIVZ,2019-03-01T15:00:01Z
cbad54aa52847cfc934bb925d53c53ee57fc153d,fix(compiler): set end location for incomplete elements (#9598),Jason,2019-03-01T14:56:13Z
1574ade607499bf4e3cf270c69249893e29eb259,"test: Add a unit test for ""$off event and this event added by $once"" (#9550)",Luxiaosong,2019-02-28T22:54:51Z
38825ff6754d61a350d8892462cecaa3eceb93c6,test: add a test case for ssr max stack size limit,Evan You,2019-02-28T22:52:20Z
571a4880fc06b491a280325b79fd4cbb59ceb47e,"fix: further adjust max stack size

close #9562",Evan You,2019-02-28T22:46:28Z
03c13de38e883636917800a283ebcb338bbfbdc3,refactor: remove unncessary condition,Evan You,2019-02-28T22:39:10Z
ed341137b23315b76ba391db1b0e537950c091e1,"fix: handle async component when parent is toggled before resolve (#9572)

fix #9571",Markus Oberlehner,2019-02-28T22:37:44Z
241eea19a64550bfdb3f9d7e4197127997572842,fix(types): allow scoped slots to return a single VNode (#9563),Kael,2019-02-28T22:03:28Z
f33301619d18b9392597c5230af17921c0b42466,fix(types): update this for nextTick api (#9541),Gcaufy,2019-02-28T21:54:07Z
2277b2322cf81b5830a5b85f6600e1896edc7aa9,"fix: scoped slots dynamic check should include v-for on element itself

fix #9596",Evan You,2019-02-28T19:36:47Z
7912f75c5eb09e0aef3e4bfd8a3bb78cad7540d7,"fix: avoid compression of unicode sequences by using regexps (#9595)

closes #9456",Haoqun Jiang,2019-02-28T17:10:38Z
060c3b98efa44a9f21bcc038a2593b1cc3c782e9,"fix: fix modifier parsing for dynamic argument with deep path (#9585)

fix #9577",DSha,2019-02-28T14:36:47Z
2ec5b640f55a34df1b70aa9d59b08385c2f7ac20,chore: update sponsors [ci skip] (#9588),vue-bot,2019-02-27T14:30:04Z
59d8579fbd3a3450ab684d6a596f1853f2257d08,build: release 2.6.7,Evan You,2019-02-21T22:06:20Z
875d6ac46c5ae8bca1490d493c75783e6e255635,build: build 2.6.7,Evan You,2019-02-21T22:06:16Z
7a8de91cd78f523fabe8452652513250871a01c6,fix(compiler): handle negative length in codeframe repeat,Evan You,2019-02-21T19:27:33Z
173042bb8e07c5ce3a0857063445bf4dc1d1d846,refactor: improve test case,Evan You,2019-02-21T19:14:35Z
2f3020e9cc1ad5c878606b56bb73a30b1d9bb7d9,"fix(#9511): avoid promise catch multiple times (#9526)

* fix(#9511): avoid promise catch multiple times

* fix(#9511): add a test case for util/error/invokeWithErrorHandling

* fix(#9511): update test case for util/error/invokeWithErrorHandling",DSha,2019-02-21T19:01:53Z
8a80a23ecba23f92f278d664388050ffcd121385,"fix: avoid errors thrown during dom props update
breaking the entire app

fix #9459",Evan You,2019-02-21T18:54:28Z
cd3d202edb606ec941d5e4fff63a90a9223652d0,refactor: simplify conditions,Evan You,2019-02-21T18:31:58Z
7ec4627902020cccd7b3f4fbc63e1b0d6b9798cd,"fix: ensure generated scoped slot code is compatible with 2.5

fix #9545",Evan You,2019-02-21T13:52:15Z
d9b27a92bd5277ee23a4e68a8bd31ecc72f4c99b,"fix: ensure scoped slots update in conditional branches

close #9534",Evan You,2019-02-21T02:48:33Z
b3bd3116351eb53cf98254652ee2a01f440b62d8,chore: update sponsors [ci skip] (#9538),vue-bot,2019-02-20T16:37:17Z
9d4c972cad7832042f1ed188fa8db6f41b3bff54,chore: update sponsors [ci skip] (#9537),vue-bot,2019-02-20T16:19:15Z
8f004ea44e06d7764fa884212fa95c2033515928,"fix: scoped slots should update when inside v-for

fix #9506",Evan You,2019-02-18T22:17:47Z
bb0aab664c52006ff79d0802631cf59e65fbbe0d,ci: pin webpack version,Evan You,2019-02-18T22:16:22Z
1d3316615bfdab021474c248f38ef255e5cc88d5,chore: bump webpack (fix PR build cache),Evan You,2019-02-18T21:34:46Z
ee29e41ef469b3ca3c793f04289075e3b128447f,fix: avoid possible infinite loop by accessing observables in error handler (#9489),katashin,2019-02-18T18:56:17Z
a702d1947b856cf3b9d6ca5fb27b2271a78a9a5b,build: release 2.6.6,Evan You,2019-02-12T04:20:09Z
ac7a5bdaed7f380d5f12626d4e7011889a43aba3,build: build 2.6.6,Evan You,2019-02-12T04:20:04Z
29c348f3cf60c50a52cc98123f8c54fa8f5672fc,"fix: fix keyCode check for Chrome autofill fake key events

close #9441",Evan You,2019-02-12T03:54:35Z
21fca2fffc3a75235a6656eb85ae40835e04bf69,fix: ensure scoped slot containing passed down slot content updates properly,Evan You,2019-02-11T16:30:14Z
11deaa932eb51e9af11fd32e72c8cab3cd55ec67,build: release 2.6.5,Evan You,2019-02-11T05:14:34Z
1489b99f24da78b9023cbe031517d99f0a61c85c,build: build 2.6.5,Evan You,2019-02-11T05:14:30Z
e7d49cdcf2fd9a612e0dac7a7bea318824210881,"fix: allow passing multiple arguments to scoped slot

fix #9468

Note: the usage is NOT recommended",Evan You,2019-02-11T03:24:18Z
060686d6ea4d013129b4d2e93d7d2e5c93e09686,fix: do not cache scoped slots when mixed with normal slots,Evan You,2019-02-11T03:23:22Z
0bad7e2a3508b55abaa8aec2a1bd9c1127305cb4,"fix: bail out of event blocking for iOS bug

close #9462",Evan You,2019-02-09T06:16:41Z
c1989500450c06cde7750850c87a6082c0725b54,build: release 2.6.4,Evan You,2019-02-08T21:44:50Z
dfb9fb177feff7dbdc249b4a55bf53f0fbc2af82,build: build 2.6.4,Evan You,2019-02-08T21:44:45Z
b2a093fa03704b2f0c6b2e9ee4d10b7ed156698d,chore: fix e2e test in phantomjs,Evan You,2019-02-08T21:32:22Z
9011b83db79cf2f3563f8fccb2e41b5b863c3ee9,fix: avoid breaking avoriaz edge case,Evan You,2019-02-08T21:11:41Z
8a800867fe61e5aa642e1e3da91bb890d07312f7,fix: new syntax slots without scope should also be exposed on functional slots(),Evan You,2019-02-08T19:45:45Z
099f3ba60085a089ff369442bdb835f3868e47c0,perf: skip scoped slots normalization when possible,Evan You,2019-02-08T19:36:36Z
7a0dfd0badf3054c95ac1ec66cc6e213f1592c95,perf: cache result from functional ctx.slots() calls,Evan You,2019-02-08T19:35:37Z
0e8560d0fc1c0fbf3a52464939701e0e44543b00,"fix: expose v-slot slots without scope on this.$slots

fix #9421, fix #9458",Evan You,2019-02-08T18:47:17Z
ca57920edb56000bfc87bb64f4e5e3450c03e13a,"fix: avoid logging same error twice when thrown by user in global handler

fix #9445",Evan You,2019-02-07T15:17:28Z
57bc80a546acb2bd092edd393228324b453ae4e2,"fix: empty scoped slot should return undefined

fix #9452",Evan You,2019-02-07T15:03:13Z
4015debe951c6b022dee5fc16869561b6c9981b4,chore: make documentation clearer (#9450),JakeConnors376W,2019-02-07T00:52:06Z
f9c83087cc73697300c4587283f197d84065d4ae,build: release 2.6.3,Evan You,2019-02-06T21:52:07Z
6441eac4c69de438b630a5ffbb8591dbdc6356f8,build: build 2.6.3,Evan You,2019-02-06T21:52:03Z
dae7e4182fbbb41e599953cc22e5d54dbb164070,"fix: skip microtask fix if event is fired from different document

fix #9448",Evan You,2019-02-06T20:57:06Z
d5ade28652b07303ac6b713813792752ae5e4e04,"revert: feat: expose all scoped slots on this.$slots

This reverts commit 0129b0eb12a1f98a722f100892bfc5e60b0f51ce.",Evan You,2019-02-06T20:22:21Z
7bc88f30c3eadded07dd5b460d1e7cb9342d017c,"fix: skip microtask fix in Firefix <= 53

fix #9446",Evan You,2019-02-06T20:04:24Z
96a09aad99bdecbcc0e5c420077bf41893d4a745,"fix(compiler): fix v-bind dynamic arguments on slot outlets

fix #9444",Evan You,2019-02-06T18:58:09Z
4d4d22a3f6017c46d08b67afe46af43027b06629,"fix: bail out scoped slot optimization when there are nested scopes

fix #9438",Evan You,2019-02-06T17:29:00Z
b6247fc9d7442c50d60ccf366a7cb183a4d02129,refactor: split resolve-scoped-slot into its own file,Evan You,2019-02-06T17:28:10Z
24b4640c1f268722f5ab8f03e68e2df897cfbdf6,"fix: avoid exposing internal flags on $scopedSlots

ref #9443",Evan You,2019-02-06T16:34:37Z
54e6a121e992f20c03f104533caa4c59e59b1ee7,fix(types): add Vue.version to types (#9431),Sebastian Krüger,2019-02-06T03:20:03Z
b9de23b1008b52deca7e7df40843e318a42f3f53,"fix: async component should use render owner as force update context

Previously, an async component uses its lexical owner as the force
update context. This works when the async component is rendered in a
scoped slot because in the past parent components always force update
child components with any type of slots. After the optimization in
f219bed though, child components with only scoped slots are no longer
force-updated, and this cause async components inside scoped slots to
not trigger the proper update. Turns out they should have used the
actual render owner (the component that invokes the scoped slot) as the
force update context all along.

fix #9432",Evan You,2019-02-06T03:16:55Z
2ef67f868dc4ca95453a091a589bab24e226f045,chore: fix typo in scheduler.js [ci skip] (#9425),katashin,2019-02-05T16:34:16Z
fdc5f0363bf528ddd1eda73c313c860ea8cf5e7a,"[automated] Patreon sponsors update (#9424)

* chore: update sponsors [ci skip]

* Update BACKERS.md

* Update README.md",vue-bot,2019-02-05T16:30:33Z
d06e3aff96f2ca3a78a1611b52412d665a02843e,chore: update backers [ci skip] (#9423),vue-bot,2019-02-05T16:26:42Z
ee9b684d0bca0c6260092b98ac81d739d35a1587,build: release 2.6.2,Evan You,2019-02-05T03:52:44Z
